"Story","Title","Result","Date","Stability","Duration (s)"
"Compra Articulo en Dafiti","Agregar al carrito","SUCCESS","2020-02-04T21:45:43.7-05:00[America/Bogota]","0.0","52.01"
"Registrar usuario en Dafiti","Registrar un usuario en Dafiti","SUCCESS","2020-02-04T21:46:35.718-05:00[America/Bogota]","0.0","48.23"
