"Story","Title","Result","Date","Stability","Duration (s)"
"Compra Articulo en Dafiti","Agregar al carrito","SUCCESS","2020-02-06T23:39:23.452-05:00[America/Bogota]","0.0","48.96"
"Registrar usuario en Dafiti","Registrar un usuario en Dafiti","SUCCESS","2020-02-06T23:40:13.352-05:00[America/Bogota]","0.0","47.37"
"Buscar info servicio","Recupera info servidor","SUCCESS","2020-02-06T23:38:48.117-05:00[America/Bogota]","0.0","34.92"
"Comprar Vuelo","Agregar Vuelo a Compra","SUCCESS","2020-02-06T23:41:01.713-05:00[America/Bogota]","0.0","49.85"
"Recuperar info de un pais","Recuperar info","SUCCESS","2020-02-06T23:41:52.08-05:00[America/Bogota]","0.0","1.8"
